[2026-03-23T18:29:20.046Z] === Scrape started ===
[2026-03-23T18:57:36.234Z] [184/425] OK "Founders - Steve Jobs and His Heroes" (62 segments)
[2026-03-23T18:57:44.527Z] [185/425] OK "The Wright Brothers" (169 segments)
[2026-03-23T18:57:52.961Z] [186/425] OK "Jay Z: Decoded" (224 segments)
[2026-03-23T18:58:01.301Z] [187/425] OK "Julio Lobo (Cuba's Last Sugar Tycoon)" (125 segments)
[2026-03-23T18:58:09.661Z] [188/425] OK "Nims Purja (Mountain Climber)" (113 segments)
[2026-03-23T18:58:17.931Z] [189/425] OK "Steve Jobs (The Pixar Story)" (145 segments)
[2026-03-23T18:58:26.249Z] [190/425] OK "Sam Walton: Made In America" (213 segments)
[2026-03-23T18:58:34.544Z] [191/425] OK "Sam Walton: Made In America" (213 segments)
[2026-03-23T18:58:42.944Z] [192/425] OK "Elon Musk, Peter Thiel, Max Levchin (PayPal)" (217 segments)
[2026-03-23T18:58:51.280Z] [193/425] OK "Alexander the Great" (108 segments)
[2026-03-23T18:58:59.652Z] [194/425] OK "William Rosenberg (Founder of Dunkin Donuts)" (153 segments)
[2026-03-23T18:59:07.998Z] [195/425] OK "Lucille Ball (TV's biggest star)" (118 segments)
[2026-03-23T18:59:16.293Z] [196/425] OK "Sidney Harman (Founder of Harman Kardon)" (175 segments)
[2026-03-23T18:59:24.664Z] [197/425] OK "Michael Bloomberg" (158 segments)
[2026-03-23T18:59:32.973Z] [198/425] OK "Founders - I read 66 biographies last year— Here are my top 10!" (18 segments)
[2026-03-23T18:59:41.400Z] [199/425] OK "The Essays of Warren Buffett" (203 segments)
[2026-03-23T18:59:49.671Z] [200/425] OK "Heroes: From Alexander the Great and Julius Caesar to Churchill and de Gaulle" (116 segments)
[2026-03-23T18:59:57.950Z] [201/425] OK "Winston Churchill" (145 segments)
[2026-03-23T19:00:06.314Z] [202/425] OK "Charles de Gaulle" (194 segments)
[2026-03-23T19:00:14.606Z] [203/425] OK "Unstoppable: Siggi Wilzig's Astonishing Journey from Auschwitz Survivor and Penniless Immigrant to Wall Street Legend" (127 segments)
[2026-03-23T19:00:23.025Z] [204/425] OK "Ed Thorp (My personal blueprint)" (166 segments)
[2026-03-23T19:00:31.410Z] [205/425] OK "Charlie Munger" (148 segments)
[2026-03-23T19:00:39.772Z] [206/425] OK "Enzo Ferrari: The Man and the Machine" (148 segments)
[2026-03-23T19:00:48.167Z] [207/425] OK "Tony Bourdain: The Definitive Biography" (186 segments)
[2026-03-23T19:00:56.511Z] [208/425] OK "Johan Cruyff (A Life of Total Football)" (103 segments)
[2026-03-23T19:01:04.829Z] [209/425] OK "Estée Lauder" (152 segments)
[2026-03-23T19:01:13.192Z] [210/425] OK "Paul Van Doren (Founder of Vans)" (167 segments)
[2026-03-23T19:01:21.538Z] [211/425] OK "Founders - #215: J. Robert Oppenheimer and Leslie Groves (The General and the Genius)" (92 segments)
[2026-03-23T19:01:29.924Z] [212/425] OK "Steve Jobs: The Exclusive Biography" (232 segments)
[2026-03-23T19:01:38.193Z] [213/425] OK "Michael Jordan: Driven From Within" (115 segments)
[2026-03-23T19:01:46.497Z] [214/425] OK "Michael Jordan: The Life" (190 segments)
[2026-03-23T19:01:54.761Z] [215/425] OK "Aristotle Onassis: An Extravagant Life" (124 segments)
[2026-03-23T19:02:03.117Z] [216/425] OK "Stephen King On Writing: A Memoir of the Craft" (122 segments)
[2026-03-23T19:02:11.394Z] [217/425] OK "Steven Spielberg: A Biography" (135 segments)
[2026-03-23T19:02:19.744Z] [218/425] OK "Steve Jobs, Bill Gates, Michael Dell, Bill Gates, Andy Grove, Bill Hewlett" (137 segments)
[2026-03-23T19:02:27.982Z] [219/425] OK "Claude Hopkins (Scientific Advertising)" (91 segments)
[2026-03-23T19:02:36.276Z] [220/425] OK "Albert D. Lasker (the creation of the advertising industry)" (166 segments)
[2026-03-23T19:02:44.638Z] [221/425] OK "James Dyson (Invention: A Life)" (179 segments)
[2026-03-23T19:02:52.940Z] [222/425] OK "Steve Jobs (Inside Steve's Brain)" (99 segments)
[2026-03-23T19:03:01.244Z] [223/425] OK "Georges Doriot (Birth of Venture Capital)" (152 segments)
[2026-03-23T19:03:09.575Z] [224/425] OK "A Few Lessons From Warren Buffett" (103 segments)
[2026-03-23T19:03:17.925Z] [225/425] OK "Isambard Kingdom Brunel (James Dyson's Hero)" (127 segments)
[2026-03-23T19:03:26.343Z] [226/425] OK "James Dyson (Against the Odds)" (228 segments)
[2026-03-23T19:03:34.714Z] [227/425] OK "Coco Chanel: The Legend and the Life" (107 segments)
